signal_date,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,units,pnl,reason,proba
2023-02-03,2023-02-06,2023-02-10,17827.460056640622,17847.571750000003,18299.73851646205,17591.32082672991,42,844.6911210939725,TIME,0.5948003593299599
2023-02-14,2023-02-15,2023-02-21,17905.547909179688,17817.785869140625,18384.23317703683,17666.205275251115,41,-3598.243641601559,TIME,0.6321504382099518
2023-02-24,2023-02-27,2023-02-28,17437.313909179687,17279.807056298894,17769.59878641183,17271.171470563615,59,-9292.904319966805,SL,0.5719601825887253
2023-02-27,2023-02-28,2023-03-06,17391.941625,17716.53539916518,17725.398098214286,17225.213388392858,59,19151.0326757456,TP,0.5281009802849412
2023-02-28,2023-03-01,2023-03-06,17368.779659179687,17694.534550879114,17703.386244001114,17201.476366768973,60,19545.293501965643,TP,0.5990544673245157
2023-03-03,2023-03-06,2023-03-10,17689.189784179685,17513.420773533267,18058.232473911827,17504.668439313613,55,-9667.295585552984,SL,0.7636653645568507
2023-03-21,2023-03-22,2023-03-24,17186.037943359373,16965.745092213863,17643.580912109373,16957.266458984373,44,-9692.88545040245,SL,0.5110372921189752
2023-03-31,2023-04-03,2023-04-11,17436.663193359374,17713.439630859375,17864.69890764509,17222.645336216516,46,12731.716125000028,TIME,0.8966348125532052
2023-04-03,2023-04-05,2023-04-12,17431.011931640624,17807.118148470563,17816.026161551337,17238.504816685265,52,19557.523275156855,TP,0.5731265549317592
2023-04-05,2023-04-06,2023-04-13,17542.616534179688,17819.086,17918.3377953404,17354.75590359933,55,15205.820620117138,TIME,0.9660342558323934
2023-04-06,2023-04-10,2023-04-17,17643.71784082031,17697.996184570315,17999.92487207031,17465.61432519531,58,3148.143937500223,TIME,0.7310490004795578
2023-04-10,2023-04-11,2023-04-18,17713.653181640624,17651.32031542969,18053.26757896205,17543.84598297991,62,-3864.6377050779265,TIME,0.7556105548628147
2023-04-11,2023-04-12,2023-04-17,17768.430556640626,17611.921430191825,18099.051929408484,17603.119870256698,63,-9860.074966274406,SL,0.6821574864341745
2023-04-12,2023-04-13,2023-04-17,17816.204431640625,17671.382247305104,18123.511351283483,17662.550971819197,67,-9703.086350479869,SL,0.7919671351214677
2023-04-13,2023-04-17,2023-04-17,17871.9315,17729.052338308593,18175.410015625,17720.1922421875,67,-9572.903833324195,SL,0.6185651280915004
2023-04-17,2023-04-18,2023-04-18,17775.482909179686,17619.0345361672,18105.989884626113,17610.22942145647,61,-9543.350753761573,SL,0.6158655302713579
2023-04-18,2023-04-19,2023-04-25,17662.176284179688,17760.365375,17992.154799804688,17497.187026367188,61,5989.534540039102,TIME,0.6433345112090425
2023-04-20,2023-04-21,2023-04-27,17648.569874999997,17906.093255859378,17953.098613839284,17496.305505580356,66,16996.543136719098,TIME,0.5874358196556636
2023-04-24,2023-04-25,2023-04-28,17770.431556640626,18054.17143949512,18063.203041015626,17624.045814453126,70,19861.791799814564,TP,0.5116893024113637
2023-04-28,2023-05-02,2023-05-08,18133.863181640623,18255.268190429688,18400.941585658482,18000.323979631696,78,9469.590685547038,TIME,0.7837175511193293
2023-05-04,2023-05-05,2023-05-11,18126.359431640623,18287.8515,18406.566462890623,17986.255916015623,75,12111.905126953297,TIME,0.7550975738933376
2023-05-08,2023-05-09,2023-05-15,18312.55209082031,18389.650184570313,18595.16648814174,18171.244892159597,75,5782.357031250194,TIME,0.6690676208718512
2023-05-17,2023-05-18,2023-05-18,18296.64375,18148.099146512275,18611.87198660714,18139.029631696427,68,-10101.033037165238,SL,0.7792490863316741
2023-05-18,2023-05-19,2023-05-25,18195.243465820313,18311.98981542969,18518.8503296596,18033.44003390067,65,7588.5127246095,TIME,0.570924992968036
2023-05-19,2023-05-22,2023-05-26,18210.200159179687,18490.099934570313,18527.214110072546,18051.69318373326,67,18753.284951171943,TIME,0.7480324755968842
2023-05-22,2023-05-23,2023-05-25,18372.081840820312,18219.74086953369,18694.974418945312,18210.635551757812,67,-10206.845076203757,SL,0.5554638533863785
2023-05-26,2023-05-29,2023-06-01,18628.45996582031,18488.124631629114,18927.60951939174,18478.885189034598,72,-10104.144061766186,SL,0.8911712660911048
2023-06-23,2023-06-26,2023-06-28,18691.690784179686,18935.203658235143,18944.675996233258,18565.1981781529,84,20455.08142065842,TP,0.5005364100964377
2023-06-30,2023-07-03,2023-07-07,19256.12325,19322.134880859376,19526.565772321428,19120.901988839287,80,5280.930468750012,TIME,0.8144096832539528
2023-09-11,2023-09-12,2023-09-12,20120.205465820312,19988.190939507465,20404.2127202846,19978.20183858817,77,-10165.11852608922,SL,0.768397935564459
